timestamp_ns,frame_index,width,height,camera_pos_x,camera_pos_y,camera_pos_z,camera_rot_qx,camera_rot_qy,camera_rot_qz,camera_rot_qw,capture_latency_ms
84250026700,0,1280,960,0.087414,0.087305,-0.019146,-0.061989,0.014022,0.037208,-0.997285,29.655
84292248300,1,1280,960,0.086631,0.087166,-0.019032,-0.062219,0.014253,0.036738,-0.997284,29.938
84335278500,2,1280,960,0.085873,0.087044,-0.018998,-0.062742,0.014681,0.036110,-0.997268,29.861
84378190200,3,1280,960,0.085232,0.087369,-0.018933,-0.061220,0.014911,0.035678,-0.997375,29.884
84422824200,4,1280,960,0.084469,0.087616,-0.019159,-0.060526,0.015617,0.034604,-0.997444,29.915
84468846700,5,1280,960,0.083945,0.087623,-0.019189,-0.059829,0.016314,0.034373,-0.997483,29.274
84511752400,6,1280,960,0.083575,0.087854,-0.019376,-0.058959,0.016728,0.034153,-0.997536,28.770
84553577300,7,1280,960,0.083310,0.088124,-0.019561,-0.058270,0.016828,0.034001,-0.997580,28.458
84595651500,8,1280,960,0.083081,0.088203,-0.019825,-0.057960,0.017157,0.033305,-0.997616,29.449
85597307400,9,1280,960,0.081927,0.083978,-0.023399,-0.078459,0.035055,0.034159,-0.995715,29.312
85640272900,10,1280,960,0.082186,0.083961,-0.023474,-0.078372,0.033295,0.033781,-0.995795,30.670
85683621500,11,1280,960,0.082401,0.083977,-0.023524,-0.078039,0.031860,0.033110,-0.995891,28.748
85725551000,12,1280,960,0.082665,0.084156,-0.023473,-0.077628,0.030987,0.033064,-0.995952,28.824
85767579300,13,1280,960,0.082740,0.084181,-0.023449,-0.077529,0.030276,0.033211,-0.995977,30.579
85810828400,14,1280,960,0.082874,0.084144,-0.023332,-0.077398,0.029598,0.033047,-0.996013,29.907
85856150500,15,1280,960,0.082965,0.084143,-0.023219,-0.076974,0.029292,0.032522,-0.996072,28.534
85898837800,16,1280,960,0.082926,0.084192,-0.023178,-0.076870,0.029358,0.032516,-0.996078,29.648
85943056400,17,1280,960,0.082937,0.084296,-0.023066,-0.076400,0.029628,0.032392,-0.996110,29.572
85987618900,18,1280,960,0.083002,0.084301,-0.023006,-0.076709,0.029856,0.032306,-0.996083,31.403
86034166400,19,1280,960,0.083065,0.084210,-0.022976,-0.076867,0.030151,0.031920,-0.996074,29.015
86076460700,20,1280,960,0.083046,0.084152,-0.022867,-0.076948,0.030232,0.032193,-0.996057,29.625
86120372500,21,1280,960,0.083185,0.084252,-0.022924,-0.076302,0.030015,0.032501,-0.996103,28.458
86164431600,22,1280,960,0.083290,0.084492,-0.022993,-0.075295,0.029625,0.032934,-0.996177,28.862
86206564700,23,1280,960,0.083383,0.084706,-0.022971,-0.074137,0.029164,0.033141,-0.996270,28.687
86248044400,24,1280,960,0.083445,0.084841,-0.022984,-0.073301,0.028774,0.033121,-0.996344,28.954
86290704500,25,1280,960,0.083412,0.084929,-0.023086,-0.072942,0.028883,0.033032,-0.996371,28.923
86332698700,26,1280,960,0.083342,0.085070,-0.023232,-0.072350,0.029361,0.032889,-0.996404,30.441
86376650400,27,1280,960,0.083297,0.085151,-0.023363,-0.072097,0.029499,0.032887,-0.996419,30.830
86421051800,28,1280,960,0.083341,0.085277,-0.023406,-0.071244,0.028934,0.032786,-0.996500,30.357
86467152600,29,1280,960,0.083386,0.085257,-0.023475,-0.071575,0.028492,0.032412,-0.996501,29.175
86510322500,30,1280,960,0.083346,0.085292,-0.023382,-0.071127,0.028237,0.032684,-0.996532,28.862
86553271400,31,1280,960,0.083275,0.085247,-0.023413,-0.071309,0.028074,0.033157,-0.996508,31.372
86598287400,32,1280,960,0.083211,0.085269,-0.023455,-0.071301,0.027860,0.032832,-0.996525,31.013
86643392000,33,1280,960,0.083214,0.085384,-0.023600,-0.070826,0.027906,0.032691,-0.996562,30.876
86689213000,34,1280,960,0.083158,0.085479,-0.023662,-0.070226,0.028150,0.032938,-0.996590,28.664
86731592600,35,1280,960,0.083246,0.085555,-0.023724,-0.069866,0.028138,0.033036,-0.996612,29.198
86780962600,36,1280,960,0.083312,0.085621,-0.023783,-0.069711,0.028038,0.033126,-0.996623,29.442
86823816900,37,1280,960,0.083352,0.085576,-0.023942,-0.069941,0.028300,0.032919,-0.996606,30.411
86867989700,38,1280,960,0.083338,0.085481,-0.024109,-0.070143,0.028648,0.033093,-0.996576,28.862
86911060500,39,1280,960,0.083362,0.085550,-0.024215,-0.069645,0.028809,0.033326,-0.996599,28.679
86953302400,40,1280,960,0.083526,0.085706,-0.024378,-0.069335,0.028789,0.033356,-0.996620,29.907
86996978400,41,1280,960,0.083587,0.085758,-0.024477,-0.069207,0.028640,0.033510,-0.996628,28.610
