timestamp_ns,head_pos_x,head_pos_y,head_pos_z,head_rot_qx,head_rot_qy,head_rot_qz,head_rot_qw
72677129200,0.094447,0.097530,-0.021822,-0.012647,0.000665,0.024653,-0.999616
72733800900,0.094890,0.095760,-0.020688,-0.018967,-0.002906,0.024569,-0.999514
72788646200,0.095618,0.093956,-0.019870,-0.028128,-0.009536,0.027321,-0.999185
72828442100,0.096501,0.093404,-0.019711,-0.032695,-0.014426,0.028197,-0.998963
72880653200,0.096943,0.093525,-0.019988,-0.030475,-0.017701,0.030687,-0.998908
72924490800,0.097338,0.093496,-0.021416,-0.030486,-0.018376,0.030681,-0.998895
72967293800,0.097483,0.093561,-0.022736,-0.031712,-0.017011,0.030721,-0.998880
73010979500,0.097575,0.093523,-0.024421,-0.032661,-0.015214,0.030244,-0.998893
73053706300,0.097582,0.093250,-0.026201,-0.035308,-0.013678,0.028882,-0.998865
73097416500,0.097655,0.092962,-0.027557,-0.037476,-0.013019,0.027596,-0.998832
73141803200,0.097835,0.092396,-0.028259,-0.040265,-0.013518,0.026708,-0.998741
73185680000,0.098020,0.090976,-0.028674,-0.047086,-0.014299,0.026102,-0.998447
73229566100,0.098037,0.089040,-0.028485,-0.057815,-0.016203,0.026424,-0.997846
73271210500,0.098123,0.088979,-0.027511,-0.056506,-0.018103,0.026440,-0.997888
73313963100,0.098180,0.088790,-0.026811,-0.057824,-0.019934,0.026825,-0.997767
73356436300,0.098089,0.088940,-0.026128,-0.056859,-0.021775,0.026479,-0.997793
73399294800,0.097932,0.089459,-0.025317,-0.055348,-0.023332,0.025636,-0.997865
73456468300,0.097702,0.089616,-0.024441,-0.055576,-0.024618,0.024605,-0.997848
73498984700,0.097305,0.089551,-0.023904,-0.055970,-0.025126,0.024495,-0.997816
73541837100,0.097012,0.089050,-0.023297,-0.058699,-0.025506,0.024852,-0.997640
73584219600,0.096665,0.088339,-0.022852,-0.061914,-0.026197,0.025495,-0.997412
73626789600,0.096333,0.087685,-0.022550,-0.065959,-0.027173,0.025325,-0.997131
73670165300,0.095986,0.087359,-0.022258,-0.067191,-0.028138,0.025059,-0.997029
73715050100,0.095585,0.087289,-0.022151,-0.067948,-0.029035,0.025057,-0.996952
73757404700,0.095051,0.086896,-0.021889,-0.068912,-0.030236,0.025015,-0.996851
73799638800,0.094607,0.086549,-0.022062,-0.070648,-0.031039,0.024619,-0.996714
73841538800,0.094185,0.086101,-0.022109,-0.072691,-0.031740,0.024553,-0.996547
73883499700,0.093815,0.085656,-0.022013,-0.074997,-0.032369,0.024508,-0.996357
73926920800,0.093423,0.085229,-0.021941,-0.076799,-0.032858,0.023683,-0.996224
73970141500,0.093032,0.084837,-0.021534,-0.077966,-0.033185,0.023292,-0.996131
74014402700,0.092608,0.084478,-0.020854,-0.078611,-0.033084,0.023029,-0.996090
74057138700,0.092076,0.084456,-0.020003,-0.078316,-0.032958,0.022607,-0.996127
74101364400,0.091616,0.084273,-0.018872,-0.079274,-0.032553,0.021774,-0.996083
74146391800,0.091219,0.084104,-0.017498,-0.080008,-0.032857,0.021317,-0.996025
74189126500,0.090933,0.083700,-0.015069,-0.080225,-0.033870,0.020762,-0.995985
74232664500,0.090747,0.083363,-0.013065,-0.080619,-0.034239,0.019908,-0.995958
74276266300,0.090650,0.083049,-0.010942,-0.081439,-0.034782,0.019677,-0.995877
74317979300,0.090587,0.082613,-0.008928,-0.082094,-0.035383,0.019807,-0.995799
74360056500,0.090499,0.082125,-0.007082,-0.083727,-0.035742,0.019786,-0.995651
74402243700,0.090356,0.081913,-0.005362,-0.084039,-0.034911,0.019243,-0.995665
74445975800,0.090229,0.081514,-0.004249,-0.085421,-0.034398,0.019521,-0.995560
74489631500,0.090237,0.081038,-0.003458,-0.087237,-0.033943,0.019574,-0.995417
74533003000,0.090357,0.080633,-0.003054,-0.088586,-0.034320,0.019914,-0.995278
74577832100,0.090623,0.080234,-0.003095,-0.090568,-0.036009,0.020552,-0.995027
74620836900,0.091050,0.080245,-0.003363,-0.090968,-0.037662,0.019978,-0.994941
74663272800,0.091418,0.080415,-0.003383,-0.090147,-0.039816,0.019612,-0.994939
74705988300,0.091804,0.080568,-0.003363,-0.089492,-0.041591,0.019558,-0.994927
74748523000,0.092087,0.080703,-0.003261,-0.088918,-0.042598,0.019616,-0.994934
74792347700,0.092287,0.080770,-0.002697,-0.088001,-0.042917,0.020447,-0.994985
74834643200,0.092428,0.080822,-0.001671,-0.087912,-0.042824,0.021233,-0.994981
74883181600,0.092425,0.080943,0.000286,-0.086648,-0.042459,0.021759,-0.995096
74926295100,0.092310,0.081063,0.002037,-0.086328,-0.042398,0.021917,-0.995123
74969278500,0.092101,0.081172,0.004156,-0.085044,-0.042648,0.022164,-0.995217
75012505000,0.091746,0.081100,0.006211,-0.084863,-0.042480,0.022566,-0.995231
75055167600,0.091270,0.081056,0.008233,-0.084866,-0.041157,0.022458,-0.995289
75097188100,0.090779,0.081064,0.010259,-0.084655,-0.039586,0.022670,-0.995366
75141431100,0.090545,0.081045,0.012254,-0.084736,-0.038415,0.023177,-0.995393
75183995500,0.090285,0.080867,0.014285,-0.085477,-0.038089,0.023169,-0.995342
75227126500,0.090066,0.080932,0.016441,-0.084659,-0.038132,0.022726,-0.995421
75270593100,0.089700,0.080628,0.019695,-0.084589,-0.038300,0.022345,-0.995429
75312841200,0.089495,0.080248,0.022016,-0.085151,-0.038096,0.021934,-0.995398
75354562800,0.089060,0.079699,0.024334,-0.086111,-0.038028,0.022041,-0.995316
75396098400,0.088658,0.079201,0.026463,-0.087330,-0.037976,0.021972,-0.995213
75441504000,0.088079,0.078875,0.028363,-0.088277,-0.038249,0.022509,-0.995107
75487891800,0.087225,0.078621,0.029987,-0.088869,-0.038534,0.023369,-0.995023
75530863100,0.086141,0.078420,0.031263,-0.088561,-0.037911,0.023198,-0.995079
75574424100,0.084625,0.078232,0.032366,-0.088499,-0.034774,0.021541,-0.995236
75619022800,0.082564,0.078257,0.033523,-0.087544,-0.028443,0.018139,-0.995589
