timestamp_ns,frame_index,width,height,camera_pos_x,camera_pos_y,camera_pos_z,camera_rot_qx,camera_rot_qy,camera_rot_qz,camera_rot_qw,capture_latency_ms
72641190900,0,1280,960,0.094447,0.097530,-0.021822,-0.012647,0.000665,0.024653,-0.999616,35.141
72697408600,1,1280,960,0.094890,0.095760,-0.020688,-0.018967,-0.002906,0.024569,-0.999514,35.606
72752592900,2,1280,960,0.095618,0.093956,-0.019870,-0.028128,-0.009536,0.027321,-0.999185,35.225
72801810300,3,1280,960,0.096501,0.093404,-0.019711,-0.032695,-0.014426,0.028197,-0.998963,25.917
72850585000,4,1280,960,0.096943,0.093525,-0.019988,-0.030475,-0.017701,0.030687,-0.998908,29.373
72892980200,5,1280,960,0.097338,0.093496,-0.021416,-0.030486,-0.018376,0.030681,-0.998895,30.853
72937418400,6,1280,960,0.097483,0.093561,-0.022736,-0.031712,-0.017011,0.030721,-0.998880,29.137
72980550300,7,1280,960,0.097575,0.093523,-0.024421,-0.032661,-0.015214,0.030244,-0.998893,29.778
73023951200,8,1280,960,0.097582,0.093250,-0.026201,-0.035308,-0.013678,0.028882,-0.998865,29.060
73067499200,9,1280,960,0.097655,0.092962,-0.027557,-0.037476,-0.013019,0.027596,-0.998832,29.259
73110201200,10,1280,960,0.097835,0.092396,-0.028259,-0.040265,-0.013518,0.026708,-0.998741,29.312
73154906200,11,1280,960,0.098020,0.090976,-0.028674,-0.047086,-0.014299,0.026102,-0.998447,30.060
73198174100,12,1280,960,0.098037,0.089040,-0.028485,-0.057815,-0.016203,0.026424,-0.997846,30.701
73242145600,13,1280,960,0.098123,0.088979,-0.027511,-0.056506,-0.018103,0.026440,-0.997888,28.404
73283821800,14,1280,960,0.098180,0.088790,-0.026811,-0.057824,-0.019934,0.026825,-0.997767,29.465
73326607300,15,1280,960,0.098089,0.088940,-0.026128,-0.056859,-0.021775,0.026479,-0.997793,29.137
73368666000,16,1280,960,0.097932,0.089459,-0.025317,-0.055348,-0.023332,0.025636,-0.997865,29.907
73427319600,17,1280,960,0.097702,0.089616,-0.024441,-0.055576,-0.024618,0.024605,-0.997848,28.488
73469149200,18,1280,960,0.097305,0.089551,-0.023904,-0.055970,-0.025126,0.024495,-0.997816,29.160
73512155600,19,1280,960,0.097012,0.089050,-0.023297,-0.058699,-0.025506,0.024852,-0.997640,29.015
73554133200,20,1280,960,0.096665,0.088339,-0.022852,-0.061914,-0.026197,0.025495,-0.997412,29.427
73596816000,21,1280,960,0.096333,0.087685,-0.022550,-0.065959,-0.027173,0.025325,-0.997131,29.289
73639858100,22,1280,960,0.095986,0.087359,-0.022258,-0.067191,-0.028138,0.025059,-0.997029,29.640
73682355800,23,1280,960,0.095585,0.087289,-0.022151,-0.067948,-0.029035,0.025057,-0.996952,30.205
73727637700,24,1280,960,0.095051,0.086896,-0.021889,-0.068912,-0.030236,0.025015,-0.996851,29.106
73769339500,25,1280,960,0.094607,0.086549,-0.022062,-0.070648,-0.031039,0.024619,-0.996714,29.556
73812565500,26,1280,960,0.094185,0.086101,-0.022109,-0.072691,-0.031740,0.024553,-0.996547,28.320
73853361300,27,1280,960,0.093815,0.085656,-0.022013,-0.074997,-0.032369,0.024508,-0.996357,29.472
73896261900,28,1280,960,0.093423,0.085229,-0.021941,-0.076799,-0.032858,0.023683,-0.996224,29.884
73940193100,29,1280,960,0.093032,0.084837,-0.021534,-0.077966,-0.033185,0.023292,-0.996131,29.243
73985088400,30,1280,960,0.092608,0.084478,-0.020854,-0.078611,-0.033084,0.023029,-0.996090,28.633
74027203500,31,1280,960,0.092076,0.084456,-0.020003,-0.078316,-0.032958,0.022607,-0.996127,29.266
74070413400,32,1280,960,0.091616,0.084273,-0.018872,-0.079274,-0.032553,0.021774,-0.996083,30.243
74114719600,33,1280,960,0.091219,0.084104,-0.017498,-0.080008,-0.032857,0.021317,-0.996025,30.914
74159228900,34,1280,960,0.090933,0.083700,-0.015069,-0.080225,-0.033870,0.020762,-0.995985,29.190
74202473400,35,1280,960,0.090747,0.083363,-0.013065,-0.080619,-0.034239,0.019908,-0.995958,29.282
74244870100,36,1280,960,0.090650,0.083049,-0.010942,-0.081439,-0.034782,0.019677,-0.995877,29.160
