timestamp_ns,head_pos_x,head_pos_y,head_pos_z,head_rot_qx,head_rot_qy,head_rot_qz,head_rot_qw
45344478900,0.075990,0.040381,-0.133854,0.019401,-0.079418,0.014317,-0.996550
45396676300,0.076074,0.042486,-0.135191,0.025046,-0.077764,0.014555,-0.996551
45435976800,0.076624,0.043746,-0.135899,0.028165,-0.077352,0.015464,-0.996486
45479815000,0.077066,0.044319,-0.136270,0.028125,-0.077029,0.015523,-0.996511
45528988200,0.077406,0.044804,-0.136779,0.026287,-0.073590,0.015499,-0.996822
45572530200,0.077316,0.044833,-0.137053,0.025318,-0.070883,0.016690,-0.997024
45616467200,0.077069,0.044442,-0.137720,0.021331,-0.067113,0.017015,-0.997372
45660803900,0.076497,0.044144,-0.138817,0.018529,-0.061809,0.018149,-0.997751
45703883200,0.075898,0.043961,-0.139965,0.016215,-0.056911,0.018168,-0.998082
45747283500,0.075243,0.043750,-0.141152,0.015869,-0.051656,0.017258,-0.998390
45793259600,0.074692,0.044015,-0.142161,0.015948,-0.046721,0.016547,-0.998644
45837530300,0.074185,0.044207,-0.142983,0.014650,-0.041753,0.015423,-0.998902
45881335500,0.073747,0.044748,-0.143403,0.014744,-0.037245,0.015652,-0.999075
45924581600,0.073288,0.045888,-0.142774,0.016666,-0.032274,0.018016,-0.999178
45967286900,0.073065,0.046350,-0.142111,0.016673,-0.028638,0.019580,-0.999259
46010075300,0.072783,0.046478,-0.141127,0.015385,-0.024982,0.020497,-0.999359
46054119100,0.072448,0.046392,-0.139653,0.013466,-0.021044,0.022440,-0.999436
46096599000,0.072093,0.045637,-0.137866,0.009430,-0.017289,0.023734,-0.999524
46139390400,0.071861,0.044204,-0.136149,0.001795,-0.014125,0.023851,-0.999614
46182439200,0.071662,0.042513,-0.134596,-0.007173,-0.012594,0.023269,-0.999624
46225828900,0.071688,0.040435,-0.133187,-0.017791,-0.012037,0.022556,-0.999515
46268243000,0.071582,0.038607,-0.131938,-0.027962,-0.012506,0.022081,-0.999287
46312678300,0.071657,0.036961,-0.130364,-0.036652,-0.013048,0.022380,-0.998992
46360635400,0.071649,0.035832,-0.128170,-0.042551,-0.014466,0.021441,-0.998759
46404413900,0.071152,0.035492,-0.126707,-0.044172,-0.014344,0.023190,-0.998652
46450911900,0.071004,0.035195,-0.125542,-0.046137,-0.015258,0.022859,-0.998557
46494188700,0.070894,0.034268,-0.124384,-0.050363,-0.018363,0.022922,-0.998299
46537364500,0.071490,0.033163,-0.123653,-0.054996,-0.025135,0.021484,-0.997939
46580151700,0.072540,0.032366,-0.122783,-0.059433,-0.033516,0.019345,-0.997482
46624472700,0.073754,0.031643,-0.122267,-0.063118,-0.042738,0.017285,-0.996941
46666640800,0.074969,0.031119,-0.121898,-0.066074,-0.051225,0.016327,-0.996365
46709142500,0.076248,0.030994,-0.120827,-0.067667,-0.057647,0.015264,-0.995924
46751681900,0.077511,0.030968,-0.120122,-0.068912,-0.062647,0.014940,-0.995542
46793817100,0.078923,0.031116,-0.119029,-0.068938,-0.067246,0.014617,-0.995245
46838123400,0.080433,0.031028,-0.117704,-0.070007,-0.070950,0.014357,-0.994917
46880919700,0.081891,0.030885,-0.116656,-0.071690,-0.075048,0.016036,-0.994470
46932556000,0.083734,0.030281,-0.114701,-0.073704,-0.080335,0.018181,-0.993873
46977191200,0.084981,0.029565,-0.113421,-0.076906,-0.084116,0.018751,-0.993307
47022347200,0.086241,0.028686,-0.112330,-0.081902,-0.087865,0.017931,-0.992598
47065053500,0.086790,0.028109,-0.111337,-0.083636,-0.089072,0.017933,-0.992346
47108699800,0.087186,0.027841,-0.110812,-0.084055,-0.089373,0.018241,-0.992277
47151757200,0.087271,0.027755,-0.110649,-0.084218,-0.089217,0.018880,-0.992266
47197820900,0.087071,0.027778,-0.110317,-0.082945,-0.088763,0.020385,-0.992384
