timestamp_ns,head_pos_x,head_pos_y,head_pos_z,head_rot_qx,head_rot_qy,head_rot_qz,head_rot_qw
60253034100,0.078362,0.073004,-0.152121,0.173443,0.028512,0.069045,-0.982007
60296329200,0.077843,0.073431,-0.152041,0.173166,0.026855,0.072866,-0.981826
60339770100,0.077559,0.073635,-0.151815,0.172750,0.024529,0.073117,-0.981942
60383513700,0.077111,0.073153,-0.151542,0.168332,0.020453,0.077809,-0.982442
60426802900,0.076971,0.073079,-0.152830,0.163029,0.021539,0.073384,-0.983653
60477466400,0.077044,0.074051,-0.154399,0.164055,0.021904,0.071892,-0.983584
60521268600,0.077673,0.074289,-0.157380,0.163814,0.022905,0.068039,-0.983876
60564459100,0.078564,0.075484,-0.159473,0.168769,0.021189,0.068522,-0.983043
60607488100,0.079417,0.076109,-0.161691,0.171270,0.019642,0.066533,-0.982779
60650948900,0.080014,0.076462,-0.164038,0.172064,0.016429,0.066125,-0.982727
60694110300,0.080208,0.076484,-0.166604,0.171997,0.014092,0.062599,-0.983006
60740474700,0.079868,0.075607,-0.169673,0.168428,0.015285,0.056492,-0.983975
60785424500,0.078797,0.074792,-0.173036,0.168064,0.016793,0.053652,-0.984172
60828321800,0.076460,0.074117,-0.178026,0.171027,0.021784,0.047250,-0.983892
60870372100,0.074428,0.074044,-0.181814,0.175822,0.024102,0.045825,-0.983059
