timestamp_ns,head_pos_x,head_pos_y,head_pos_z,head_rot_qx,head_rot_qy,head_rot_qz,head_rot_qw
2287739600,0.007759,0.051193,-0.180484,0.057254,0.036686,-0.008555,-0.997649
2331708900,0.007824,0.050626,-0.178968,0.052722,0.037235,-0.008772,-0.997876
2370263100,0.007829,0.050102,-0.178326,0.048879,0.037945,-0.008630,-0.998046
2381882200,0.007769,0.049751,-0.178106,0.047035,0.038913,-0.008712,-0.998097
2414270600,0.007765,0.049649,-0.178109,0.046793,0.039148,-0.008594,-0.998100
2425113800,0.007800,0.049509,-0.178185,0.046323,0.039476,-0.008135,-0.998113
2456334100,0.007833,0.049433,-0.178257,0.045979,0.039615,-0.007926,-0.998125
2469521400,0.007954,0.049235,-0.178578,0.044871,0.039214,-0.007453,-0.998195
2502052300,0.008016,0.049129,-0.178727,0.044465,0.039005,-0.007262,-0.998223
2555464500,0.008164,0.048891,-0.179117,0.044095,0.038071,-0.006864,-0.998278
2588153200,0.008321,0.048762,-0.179525,0.044116,0.037457,-0.007284,-0.998298
2622928200,0.008323,0.048655,-0.179748,0.043855,0.037316,-0.007125,-0.998315
2656111700,0.008376,0.048319,-0.180143,0.043258,0.037821,-0.007121,-0.998322
2691170900,0.008339,0.048206,-0.180264,0.042909,0.038276,-0.006803,-0.998322
2725226600,0.008290,0.048048,-0.180395,0.041941,0.038862,-0.006374,-0.998344
2758610100,0.008325,0.048015,-0.180296,0.041322,0.038636,-0.006116,-0.998380
2768347500,0.008361,0.048073,-0.180133,0.040879,0.037815,-0.005783,-0.998432
2802857400,0.008365,0.048115,-0.180063,0.041203,0.037359,-0.005833,-0.998435
2812882900,0.008399,0.048301,-0.179810,0.041759,0.037139,-0.006069,-0.998419
2845168600,0.008398,0.048373,-0.179692,0.041823,0.036953,-0.005867,-0.998424
2856821400,0.008506,0.048405,-0.179399,0.041451,0.036853,-0.005723,-0.998444
2888566000,0.008610,0.048387,-0.179248,0.041116,0.036806,-0.005697,-0.998460
2900283300,0.008732,0.048369,-0.179000,0.040826,0.036506,-0.005704,-0.998483
2931443600,0.008791,0.048358,-0.178874,0.040529,0.036452,-0.005689,-0.998497
2970906900,0.008905,0.048222,-0.178530,0.039490,0.035965,-0.004854,-0.998561
3005102600,0.008990,0.048180,-0.178266,0.038849,0.035619,-0.004372,-0.998601
3014883000,0.009046,0.048209,-0.177968,0.038816,0.035486,-0.004278,-0.998607
3025434700,0.009049,0.048213,-0.177834,0.038740,0.035408,-0.004186,-0.998613
3055755200,0.009044,0.048206,-0.177713,0.038686,0.035348,-0.004225,-0.998617
3068215200,0.009042,0.048031,-0.177606,0.037722,0.035097,-0.004209,-0.998663
3098834200,0.009057,0.047921,-0.177567,0.037079,0.034902,-0.004148,-0.998694
3108859900,0.009312,0.047660,-0.177441,0.035907,0.034665,-0.004029,-0.998746
3141783800,0.009320,0.047543,-0.177439,0.035584,0.034640,-0.004007,-0.998758
3174501000,0.009341,0.047371,-0.177472,0.035079,0.034521,-0.003888,-0.998781
3184962700,0.009396,0.047143,-0.177601,0.033951,0.034121,-0.003577,-0.998835
3216848700,0.009433,0.047077,-0.177660,0.033805,0.034006,-0.003380,-0.998844
3227822900,0.009676,0.047068,-0.177687,0.034021,0.033811,-0.002943,-0.998845
3259540500,0.009743,0.047116,-0.177707,0.034052,0.033663,-0.002794,-0.998849
3269774100,0.009857,0.047513,-0.177690,0.036145,0.033517,-0.002037,-0.998782
