timestamp_ns,frame_index,width,height,camera_pos_x,camera_pos_y,camera_pos_z,camera_rot_qx,camera_rot_qy,camera_rot_qz,camera_rot_qw,capture_latency_ms
26042557300,0,1280,960,0.113920,0.005839,-0.122059,-0.138101,-0.281724,0.049495,-0.948214,28.603
26084370200,1,1280,960,0.114375,0.004529,-0.121498,-0.137033,-0.282479,0.047228,-0.948260,30.922
26128448700,2,1280,960,0.114084,0.002635,-0.121336,-0.143642,-0.283227,0.048903,-0.946973,30.945
26172059700,3,1280,960,0.113597,0.001015,-0.120243,-0.145536,-0.280879,0.049247,-0.947366,29.465
26215271800,4,1280,960,0.112456,0.002115,-0.119842,-0.140800,-0.274086,0.049093,-0.950075,29.743
