timestamp_ns,frame_index,width,height,camera_pos_x,camera_pos_y,camera_pos_z,camera_rot_qx,camera_rot_qy,camera_rot_qz,camera_rot_qw,capture_latency_ms
33280178000,0,1280,960,0.061476,0.068409,-0.164079,0.147805,0.053522,0.047254,-0.986436,34.458
33336139700,1,1280,960,0.061465,0.068261,-0.163907,0.146257,0.051669,0.047495,-0.986754,35.675
33391903900,2,1280,960,0.061130,0.068208,-0.164038,0.145549,0.051449,0.047714,-0.986860,25.253
33431054800,3,1280,960,0.060824,0.068276,-0.164354,0.144860,0.051437,0.049273,-0.986885,30.117
33484470000,4,1280,960,0.060095,0.068645,-0.164646,0.144464,0.052078,0.047505,-0.986996,29.556
33527647400,5,1280,960,0.059499,0.069026,-0.164615,0.144043,0.052607,0.045952,-0.987103,30.182
33571787500,6,1280,960,0.059077,0.069283,-0.164496,0.143262,0.052811,0.043454,-0.987319,30.128
33615673700,7,1280,960,0.058791,0.069095,-0.164287,0.140131,0.052238,0.042557,-0.987838,30.403
33659411200,8,1280,960,0.058410,0.068981,-0.163366,0.138840,0.050764,0.041328,-0.988149,29.285
33703283300,9,1280,960,0.058164,0.068728,-0.162582,0.135707,0.050065,0.039295,-0.988703,28.667
33745535400,10,1280,960,0.057893,0.068087,-0.161969,0.131953,0.049087,0.037450,-0.989331,28.427
33800518300,11,1280,960,0.057647,0.067724,-0.161354,0.129809,0.048348,0.036538,-0.989685,29.690
33844030700,12,1280,960,0.057293,0.067514,-0.160571,0.127993,0.048141,0.035836,-0.989958,28.725
33885792400,13,1280,960,0.056940,0.067305,-0.160180,0.127241,0.048342,0.035972,-0.990040,29.186
33928306300,14,1280,960,0.056577,0.067120,-0.159992,0.125616,0.048799,0.035878,-0.990228,29.415
33970824900,15,1280,960,0.056246,0.067136,-0.159801,0.124800,0.048621,0.036296,-0.990325,34.576
34019228100,16,1280,960,0.056067,0.066951,-0.159668,0.123728,0.048069,0.036012,-0.990497,29.331
34062299000,17,1280,960,0.055853,0.067105,-0.159311,0.124067,0.047314,0.035477,-0.990510,29.755
34112175900,18,1280,960,0.055748,0.066956,-0.159042,0.123033,0.046568,0.035328,-0.990680,29.598
