timestamp_ns,head_pos_x,head_pos_y,head_pos_z,head_rot_qx,head_rot_qy,head_rot_qz,head_rot_qw
91401667600,0.071323,0.075931,0.001433,-0.095140,0.018584,0.028066,-0.994895
91454796500,0.071189,0.075925,-0.000867,-0.096023,0.018221,0.027622,-0.994829
91505004200,0.070899,0.075994,-0.002959,-0.096370,0.019170,0.027078,-0.994793
91555561900,0.070483,0.076058,-0.004668,-0.096346,0.020804,0.026573,-0.994776
91605313700,0.070266,0.075984,-0.005892,-0.096707,0.021377,0.026353,-0.994734
91646739500,0.070192,0.075878,-0.006588,-0.097185,0.021277,0.026239,-0.994693
91690060300,0.070176,0.076022,-0.006872,-0.096181,0.021107,0.026203,-0.994795
91733125500,0.070169,0.076117,-0.006996,-0.096186,0.020993,0.026371,-0.994793
91776505000,0.070149,0.076330,-0.007003,-0.095296,0.021321,0.026586,-0.994865
91821287700,0.070091,0.076639,-0.007196,-0.094590,0.021840,0.026633,-0.994920
91868291200,0.070109,0.076824,-0.007179,-0.093609,0.022473,0.026647,-0.994999
91912076400,0.070241,0.077151,-0.006887,-0.092439,0.023659,0.026208,-0.995092
91955022600,0.070441,0.077262,-0.006744,-0.092214,0.024229,0.026153,-0.995101
91997716100,0.070683,0.077323,-0.006801,-0.092235,0.024186,0.026550,-0.995089
92039533700,0.071040,0.077180,-0.006879,-0.092603,0.023954,0.026692,-0.995057
92081710500,0.071339,0.077084,-0.007146,-0.093412,0.023878,0.026476,-0.994989
92125220600,0.071650,0.077172,-0.007591,-0.093373,0.023773,0.026777,-0.994987
92168906000,0.071989,0.077462,-0.008089,-0.092070,0.023691,0.026957,-0.995106
92212524300,0.072378,0.077837,-0.008534,-0.090779,0.023588,0.027335,-0.995216
92256234500,0.072803,0.078175,-0.008757,-0.089269,0.023252,0.027584,-0.995354
92298814700,0.073016,0.078268,-0.008732,-0.088922,0.022732,0.027896,-0.995388
92341828200,0.073104,0.078207,-0.008660,-0.088968,0.022694,0.027980,-0.995383
92384012700,0.073092,0.078200,-0.008636,-0.088914,0.023138,0.027838,-0.995381
92427394600,0.073055,0.078207,-0.008643,-0.088983,0.023790,0.027459,-0.995370
92486769400,0.073113,0.078401,-0.008475,-0.088502,0.024985,0.027001,-0.995397
92533369300,0.073172,0.078334,-0.008402,-0.088650,0.025680,0.026965,-0.995367
92575670300,0.073421,0.078174,-0.008378,-0.088764,0.026194,0.027090,-0.995340
92618241300,0.073899,0.077942,-0.008727,-0.090586,0.025721,0.027141,-0.995186
92660989900,0.074469,0.077831,-0.009038,-0.090488,0.024950,0.027187,-0.995214
92703931700,0.074891,0.077491,-0.009976,-0.092168,0.024499,0.028149,-0.995044
92746690300,0.075225,0.077712,-0.010919,-0.091833,0.024805,0.028792,-0.995049
92791658200,0.075585,0.078145,-0.011925,-0.090236,0.026067,0.029389,-0.995145
92834156900,0.075859,0.078288,-0.012888,-0.090555,0.027321,0.029823,-0.995070
92876260800,0.076306,0.078243,-0.013432,-0.090997,0.027950,0.029748,-0.995014
92918608400,0.076941,0.078058,-0.013753,-0.092495,0.027225,0.029726,-0.994897
92962830700,0.077743,0.077743,-0.013584,-0.094344,0.025389,0.030449,-0.994750
93005799200,0.078571,0.077391,-0.013067,-0.096466,0.022900,0.030030,-0.994620
93053930200,0.078961,0.077394,-0.012494,-0.096421,0.021163,0.030058,-0.994662
93096835000,0.079256,0.077536,-0.012071,-0.095684,0.020220,0.028943,-0.994786
93140039300,0.079107,0.077696,-0.011868,-0.095008,0.020211,0.028266,-0.994870
93185473800,0.078567,0.078048,-0.011496,-0.093905,0.021019,0.028002,-0.994965
93230079500,0.077319,0.078747,-0.010688,-0.091589,0.022828,0.028133,-0.995138
93272596400,0.076278,0.079173,-0.009760,-0.088958,0.025035,0.027690,-0.995336
93316033200,0.074834,0.079313,-0.009064,-0.088748,0.027050,0.027574,-0.995305
93359774800,0.073039,0.079688,-0.008233,-0.088753,0.030154,0.026711,-0.995239
93403695500,0.071314,0.080478,-0.007134,-0.084983,0.033247,0.027752,-0.995441
93447788900,0.069659,0.081160,-0.006057,-0.081239,0.036390,0.027540,-0.995649
93492756200,0.068037,0.081510,-0.005292,-0.080658,0.039678,0.026735,-0.995593
93536442300,0.066186,0.082374,-0.004028,-0.077230,0.043887,0.026295,-0.995700
93579508900,0.064956,0.083151,-0.002744,-0.072564,0.047180,0.026510,-0.995895
93621803700,0.064012,0.083687,-0.001555,-0.069436,0.049423,0.028337,-0.995958
93666049300,0.063304,0.083996,-0.000424,-0.067770,0.050452,0.028967,-0.996003
93709459900,0.062884,0.083997,0.000803,-0.067271,0.050361,0.028767,-0.996048
93752140600,0.062647,0.083803,0.001954,-0.067938,0.049321,0.028739,-0.996055
93796508200,0.062484,0.083311,0.002979,-0.069569,0.048030,0.028274,-0.996019
93840718700,0.062418,0.082696,0.003959,-0.071750,0.047691,0.026856,-0.995920
93881184000,0.062361,0.082220,0.004313,-0.073600,0.047861,0.027115,-0.995770
